         234 function calls in 0.453 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.244    0.244    0.244    0.244 {method 'encode_to_file' of 'ImagingEncoder' objects}
        1    0.067    0.067    0.067    0.067 {built-in method PIL._imaging.fill}
        1    0.057    0.057    0.057    0.057 {method 'decode' of 'ImagingDecoder' objects}
        1    0.052    0.052    0.052    0.052 {method 'close' of '_io.BufferedRandom' objects}
        1    0.015    0.015    0.015    0.015 {built-in method io.open}
        5    0.011    0.002    0.011    0.002 {built-in method posix.lstat}
        1    0.003    0.003    0.003    0.003 {built-in method posix.mkdir}
        3    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.326    0.326 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:2481(save)
        2    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.246    0.246 /usr/local/lib/python3.11/dist-packages/PIL/JpegImagePlugin.py:633(_save)
        1    0.000    0.000    0.012    0.012 <frozen posixpath>:421(_joinrealpath)
        1    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.245    0.245 /usr/local/lib/python3.11/dist-packages/PIL/ImageFile.py:528(_save)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.jpeg_encoder}
        1    0.000    0.000    0.245    0.245 /usr/local/lib/python3.11/dist-packages/PIL/ImageFile.py:556(_encode_tile)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:449(_getencoder)
        7    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:571(_new)
        1    0.000    0.000    0.012    0.012 <frozen posixpath>:412(realpath)
        1    0.000    0.000    0.124    0.124 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:3105(frombytes)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:424(_getdecoder)
        1    0.000    0.000    0.124    0.124 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:3219(fromarray)
        1    0.000    0.000    0.067    0.067 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:3053(new)
        1    0.000    0.000    0.057    0.057 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:851(frombytes)
        1    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       26    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/JpegImagePlugin.py:646(<listcomp>)
        9    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:885(load)
        2    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_decoder}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.003    0.003 <frozen os>:200(makedirs)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:555(width)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:397(abspath)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/queue.py:122(put)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:637(_ensure_mutable)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:543(__init__)
       10    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.124    0.124 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:3151(frombuffer)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:264(__enter__)
        1    0.000    0.000    0.000    0.000 /mnt/app/services/image/img_filedata.py:12(__init__)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       19    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        2    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/_util.py:9(is_path)
        1    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:3034(_check_size)
        1    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
        5    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
        1    0.000    0.000    0.000    0.000 /mnt/app/services/devTools/profilingService.py:26(__exit__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:567(mode)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:563(size)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/queue.py:213(_put)
       15    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:348(preinit)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:409(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:267(__exit__)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:559(height)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:279(_is_owned)
        2    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /mnt/app/services/camera/camera_store.py:27(put_img_file_to_queue)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:359(notify)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/JpegImagePlugin.py:686(validate_qtables)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/ImageFile.py:89(_tilesort)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}


