         230 function calls in 0.578 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.229    0.229    0.229    0.229 {method 'close' of '_io.BufferedRandom' objects}
        1    0.148    0.148    0.148    0.148 {method 'encode_to_file' of 'ImagingEncoder' objects}
        5    0.097    0.019    0.097    0.019 {built-in method posix.lstat}
        1    0.060    0.060    0.060    0.060 {built-in method PIL._imaging.fill}
        1    0.032    0.032    0.032    0.032 {method 'decode' of 'ImagingDecoder' objects}
        1    0.010    0.010    0.010    0.010 {built-in method io.open}
        1    0.000    0.000    0.486    0.486 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:2481(save)
        1    0.000    0.000    0.149    0.149 /usr/local/lib/python3.11/dist-packages/PIL/JpegImagePlugin.py:633(_save)
        1    0.000    0.000    0.097    0.097 <frozen posixpath>:421(_joinrealpath)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.jpeg_encoder}
        1    0.000    0.000    0.093    0.093 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:3219(fromarray)
        1    0.000    0.000    0.149    0.149 /usr/local/lib/python3.11/dist-packages/PIL/ImageFile.py:556(_encode_tile)
        1    0.000    0.000    0.149    0.149 /usr/local/lib/python3.11/dist-packages/PIL/ImageFile.py:528(_save)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:571(_new)
        1    0.000    0.000    0.093    0.093 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:3105(frombytes)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:424(_getdecoder)
        1    0.000    0.000    0.032    0.032 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:851(frombytes)
        1    0.000    0.000    0.097    0.097 <frozen posixpath>:412(realpath)
        1    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        5    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 /mnt/app/module/db_main.py:161(set_img_data_db)
        1    0.000    0.000    0.093    0.093 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:3151(frombuffer)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:449(_getencoder)
        1    0.000    0.000    0.060    0.060 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:3053(new)
        1    0.000    0.000    0.000    0.000 /mnt/app/module/db_main.py:157(get_img_data_0)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
        1    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingEncoder' objects}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:885(load)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/queue.py:122(put)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/Image.py:3034(_check_size)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/queue.py:154(get)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:264(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/PIL/JpegImagePlugin.py:646(<listcomp>)
